division,date,percentage
Visits,2018-07-01,3
Visits,2018-08-01,3
Visits,2018-09-01,1
Visits,2018-10-01,1
Visits,2018-11-01,1
Visits,2018-12-01,-1
Visits,2019-01-01,3
Visits,2019-02-01,3
Visits,2019-03-01,3
Visits,2019-04-01,1
Visits,2019-05-01,7
Visits,2019-06-01,-2
Visits,2019-07-01,2
Visits,2019-08-01,4
Visits,2019-09-01,-2
Visits,2019-10-01,2
Visits,2019-11-01,3
Visits,2019-12-01,-4
Visits,2020-01-01,1
Visits,2020-02-01,-3
Visits,2020-03-01,-13
Visits,2020-04-01,-59
Visits,2020-05-01,-33
Visits,2020-06-01,-20
Visits,2020-07-01,-20
Visits,2020-08-01,-15
Visits,2020-09-01,-9
Visits,2020-10-01,-8
Visits,2020-11-01,-11
Visits,2020-12-01,-2
Visits,2021-01-01,-15
Visits,2021-02-01,-7
Visits,2021-03-01,1
Visits,2021-04-01,156
Visits,2021-05-01,40
Visits,2021-06-01,13
Visits,2021-07-01,-1
Visits,2021-08-01,1
Visits,2021-09-01,-2
Visits,2021-10-01,-7
Visits,2021-11-01,-13
Visits,2021-12-01,-6
Visits,2022-01-01,3
Visits,2022-02-01,-4
Visits,2022-03-01,-8
Visits,2022-04-01,-11
Dwell-Time,2018-07-01,1
Dwell-Time,2018-08-01,3
Dwell-Time,2018-09-01,0
Dwell-Time,2018-10-01,-1
Dwell-Time,2018-11-01,-2
Dwell-Time,2018-12-01,-4
Dwell-Time,2019-01-01,0
Dwell-Time,2019-02-01,-2
Dwell-Time,2019-03-01,0
Dwell-Time,2019-04-01,-3
Dwell-Time,2019-05-01,3
Dwell-Time,2019-06-01,-5
Dwell-Time,2019-07-01,-3
Dwell-Time,2019-08-01,0
Dwell-Time,2019-09-01,-6
Dwell-Time,2019-10-01,-2
Dwell-Time,2019-11-01,0
Dwell-Time,2019-12-01,-7
Dwell-Time,2020-01-01,-1
Dwell-Time,2020-02-01,-5
Dwell-Time,2020-03-01,-22
Dwell-Time,2020-04-01,-67
Dwell-Time,2020-05-01,-41
Dwell-Time,2020-06-01,-35
Dwell-Time,2020-07-01,-32
Dwell-Time,2020-08-01,-25
Dwell-Time,2020-09-01,-16
Dwell-Time,2020-10-01,-12
Dwell-Time,2020-11-01,-16
Dwell-Time,2020-12-01,-8
Dwell-Time,2021-01-01,-23
Dwell-Time,2021-02-01,-12
Dwell-Time,2021-03-01,3
Dwell-Time,2021-04-01,209
Dwell-Time,2021-05-01,52
Dwell-Time,2021-06-01,26
Dwell-Time,2021-07-01,2
Dwell-Time,2021-08-01,7
Dwell-Time,2021-09-01,3
Dwell-Time,2021-10-01,-4
Dwell-Time,2021-11-01,-10
Dwell-Time,2021-12-01,-3
Dwell-Time,2022-01-01,11
Dwell-Time,2022-02-01,-2
Dwell-Time,2022-03-01,-2
Dwell-Time,2022-04-01,-8
